GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH25-01,01,04,17000,22000,25500,300,17000,22000,26000,285,NA,NA,NA,NA,NA,NA,NA,NA,20000,21500,23000,15
CAH25-01,02,03,22000,26000,30000,215,22000,26000,30000,195,NA,NA,NA,NA,16000,24500,38000,15,NA,NA,NA,NA
CAH25-01,02,04,24000,27000,32000,30,26000,27000,32000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-01,01,03,20000,24000,26000,135,21000,24000,28000,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-01,02,03,22000,27000,30000,10,22000,27000,30000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-02,01,03,19000,23000,26000,1065,19500,23000,26500,935,15000,18000,23500,25,16500,21500,25000,80,18000,21500,24000,20
CAH25-01-02,02,03,21000,27500,36000,15,13000,24000,28000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-03,01,03,22000,24000,27000,7315,22000,24500,27000,6460,22000,24000,26500,130,20000,24000,26000,475,19000,23000,26000,240
CAH25-01-03,01,04,20000,23500,28000,115,20000,24000,28500,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-03,02,03,23000,27000,31000,135,23000,27000,31000,115,NA,NA,NA,NA,16000,24500,28000,15,NA,NA,NA,NA
CAH25-01-03,02,04,24000,26000,30000,20,25000,27000,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-04,01,03,20000,24000,26500,3125,20500,24000,27000,2830,20000,22000,25000,65,19000,22000,24500,120,19000,23000,25000,105
CAH25-01-04,01,04,13000,20000,24000,75,14000,20000,24000,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-04,02,03,21500,25000,28000,50,21500,25000,29000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-05,01,03,21000,24000,28000,205,20500,24000,28000,180,NA,NA,NA,NA,NA,NA,NA,NA,20000,25000,28000,15
CAH25-01-05,01,04,17000,22000,24500,105,17000,22000,24500,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02,01,03,20000,24000,28000,5165,20000,24000,28000,4620,19000,22000,26000,85,17000,22500,27000,250,18000,22000,25000,195
CAH25-02,01,04,17000,20000,27000,195,17000,20000,28000,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02,02,03,22000,24000,32500,55,19000,24000,32000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-01,01,03,17000,22000,26000,185,18000,23000,27000,165,NA,NA,NA,NA,11000,15000,18000,20,NA,NA,NA,NA
CAH25-02-01,01,04,20000,21000,28000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-02,01,03,20000,24000,28000,2545,20500,24000,28000,2265,19000,24000,26000,55,20000,24000,27000,110,16000,22000,24000,105
CAH25-02-02,01,04,17000,20000,25000,65,17000,20000,25000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-02,02,03,19000,25000,32000,35,17000,23500,32000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-03,01,03,20000,24000,28000,2110,20000,24000,28000,1875,19000,22000,26000,35,17000,22000,28000,120,18000,22000,25000,85
CAH25-02-03,01,04,15000,21000,30000,105,15000,21000,30000,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-03,02,03,22000,24000,30000,10,22000,24000,30000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-04,01,03,19000,23000,27000,325,19000,23000,27000,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-04,01,04,17000,18000,24000,15,17000,18000,24000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26,01,03,24000,28000,31000,5440,24500,28000,31000,4720,23000,25000,28500,105,24000,27500,31500,370,23000,26000,29500,220
CAH26,01,04,19000,24500,29000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26,02,03,25500,29500,39500,225,26000,30000,39500,190,NA,NA,NA,NA,24500,29500,45000,20,25500,29500,36000,10
CAH26,02,04,26000,34000,52000,20,25000,43500,52000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01,01,03,24000,28000,31000,5440,24500,28000,31000,4720,23000,25000,28500,105,24000,27500,31500,370,23000,26000,29500,220
CAH26-01,01,04,19000,24500,29000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01,02,03,25500,29500,39500,225,26000,30000,39500,190,NA,NA,NA,NA,24500,29500,45000,20,25500,29500,36000,10
CAH26-01,02,04,26000,34000,52000,20,25000,43500,52000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-01,01,03,24000,28000,30500,835,24500,28000,31000,725,22000,25000,28000,40,24000,28000,30500,50,23000,28000,29000,25
CAH26-01-01,02,03,27500,30000,33500,20,28000,30000,34000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-02,01,03,24000,27500,31000,1480,24500,27500,31000,1260,22500,24000,28000,25,24000,27000,30000,115,23000,26500,30000,70
CAH26-01-02,02,03,26000,29500,36500,45,25500,29000,36500,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-03,01,03,25000,28000,32000,1575,25000,28000,32000,1405,27000,28500,30000,25,24000,28000,33000,65,22000,24000,30000,65
CAH26-01-03,02,03,22000,30000,40000,20,22000,35000,40500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-04,01,03,24000,27000,30000,750,24000,27000,30000,665,24000,27000,28000,15,24000,26000,30000,50,21500,23000,27500,15
CAH26-01-04,01,04,16000,23500,29000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-04,02,03,25500,29500,39500,120,26000,30000,39500,105,NA,NA,NA,NA,22000,28000,38000,10,NA,NA,NA,NA
CAH26-01-05,01,03,28000,32000,35500,15,29500,33000,35500,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-06,01,03,24500,27500,31500,790,24500,27500,31500,650,NA,NA,NA,NA,25000,28000,33000,90,23000,27500,29500,40
CAH26-01-06,02,03,24500,28000,90000,15,24500,28000,90000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
