LEO3SECSBJ,KISMODE,KISLEVEL,LEO3SECPOP_UK,LEO3LQ_UK,LEO3MED_UK,LEO3UQ_UK,LEO3SECPOP_E,LEO3LQ_E,LEO3MED_E,LEO3UQ_E,LEO3SECPOP_NW,LEO3LQ_NW,LEO3MED_NW,LEO3UQ_NW,LEO3SECPOP_NE,LEO3LQ_NE,LEO3MED_NE,LEO3UQ_NE,LEO3SECPOP_EM,LEO3LQ_EM,LEO3MED_EM,LEO3UQ_EM,LEO3SECPOP_WM,LEO3LQ_WM,LEO3MED_WM,LEO3UQ_WM,LEO3SECPOP_EE,LEO3LQ_EE,LEO3MED_EE,LEO3UQ_EE,LEO3SECPOP_SE,LEO3LQ_SE,LEO3MED_SE,LEO3UQ_SE,LEO3SECPOP_SW,LEO3LQ_SW,LEO3MED_SW,LEO3UQ_SW,LEO3SECPOP_YH,LEO3LQ_YH,LEO3MED_YH,LEO3UQ_YH,LEO3SECPOP_LN,LEO3LQ_LN,LEO3MED_LN,LEO3UQ_LN,LEO3SECPOP_W,LEO3LQ_W,LEO3MED_W,LEO3UQ_W,LEO3SECPOP_CF,LEO3LQ_CF,LEO3MED_CF,LEO3UQ_CF,LEO3SECPOP_S,LEO3LQ_S,LEO3MED_S,LEO3UQ_S,LEO3SECPOP_ED,LEO3LQ_ED,LEO3MED_ED,LEO3UQ_ED,LEO3SECPOP_GL,LEO3LQ_GL,LEO3MED_GL,LEO3UQ_GL
CAH01-01-02,02,03,20,19000,36500,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-03,02,04,20,34500,46500,55500,20,34500,43000,56500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-04,01,03,260,33500,41500,50000,205,27500,41000,49500,25,25000,38500,45500,NA,NA,NA,NA,NA,NA,NA,NA,25,33500,43000,50000,NA,NA,NA,NA,25,27000,38500,48500,20,28000,46500,57000,25,25500,37500,49500,55,35000,41500,51500,20,40000,49000,52000,NA,NA,NA,NA,30,33500,39000,49000,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-04,01,04,20,8500,26500,39000,15,16500,28500,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-04,02,04,20,18500,40500,45500,15,18500,41500,45500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02,01,03,44255,21000,27000,32500,37015,21000,27500,33000,6170,21000,26500,31500,1775,22000,27000,31500,3115,20500,26500,31500,4415,20000,26500,32000,3545,22000,28000,33000,4890,22500,28000,33500,3315,20500,26000,30500,3720,20000,26000,31000,6065,22500,30500,37000,2485,22000,26500,31000,425,22500,27000,32000,4390,22000,27500,31000,480,22500,27500,30500,630,21000,27000,31000
CAH02,01,04,5845,18500,25500,32500,5205,18500,25000,31500,915,17500,23000,30500,350,21000,26000,29000,615,20500,26000,31500,475,19000,26500,35000,470,18500,24500,31000,645,18500,25500,32000,570,18500,25000,31000,730,18500,25000,30500,440,16000,26500,35500,175,19000,26500,33500,NA,NA,NA,NA,450,18500,31500,36500,20,26000,33000,39000,NA,NA,NA,NA
CAH02,02,03,7605,22500,30500,38500,6640,22500,30500,38500,885,24000,30500,38000,685,24500,31500,36500,645,22000,29500,37500,785,21500,29500,37000,580,23500,31500,39500,1050,21500,31500,39000,455,20500,27500,34500,515,23000,30000,36500,1035,22500,33500,43000,285,22500,31000,37500,30,20500,27500,33500,655,22500,30000,37000,35,20000,26000,37000,85,20500,27500,35000
CAH02,02,04,12775,22500,30500,38000,12015,22500,30500,38000,2005,23500,30500,37000,950,22500,29500,36000,1050,21500,29000,34500,1825,22500,30500,36500,710,22500,31000,38500,1575,22500,32500,41000,690,20000,29000,36000,1620,20000,28000,35500,1585,26500,37000,44500,305,20000,27000,33000,20,12500,26500,35000,415,23500,30500,37000,25,28000,31500,37500,35,27000,33500,39000
CAH02-02,01,03,2615,22000,32500,39500,2145,21000,32500,40000,320,19000,34000,40000,90,25000,32500,40000,150,18500,32000,40000,230,17000,29500,40000,140,26000,34000,41500,295,24000,34000,41000,85,22500,35500,41500,160,14500,28500,40000,670,20000,32000,38500,90,25000,36000,41000,25,24000,36500,42500,365,25000,31500,38000,40,25000,29000,33500,80,24000,30000,37500
