LEO5SECSBJ,KISMODE,KISLEVEL,LEO5SECPOP_UK,LEO5LQ_UK,LEO5MED_UK,LEO5UQ_UK,LEO5SECPOP_E,LEO5LQ_E,LEO5MED_E,LEO5UQ_E,LEO5SECPOP_NW,LEO5LQ_NW,LEO5MED_NW,LEO5UQ_NW,LEO5SECPOP_NE,LEO5LQ_NE,LEO5MED_NE,LEO5UQ_NE,LEO5SECPOP_EM,LEO5LQ_EM,LEO5MED_EM,LEO5UQ_EM,LEO5SECPOP_WM,LEO5LQ_WM,LEO5MED_WM,LEO5UQ_WM,LEO5SECPOP_EE,LEO5LQ_EE,LEO5MED_EE,LEO5UQ_EE,LEO5SECPOP_SE,LEO5LQ_SE,LEO5MED_SE,LEO5UQ_SE,LEO5SECPOP_SW,LEO5LQ_SW,LEO5MED_SW,LEO5UQ_SW,LEO5SECPOP_YH,LEO5LQ_YH,LEO5MED_YH,LEO5UQ_YH,LEO5SECPOP_LN,LEO5LQ_LN,LEO5MED_LN,LEO5UQ_LN,LEO5SECPOP_W,LEO5LQ_W,LEO5MED_W,LEO5UQ_W,LEO5SECPOP_CF,LEO5LQ_CF,LEO5MED_CF,LEO5UQ_CF,LEO5SECPOP_S,LEO5LQ_S,LEO5MED_S,LEO5UQ_S,LEO5SECPOP_ED,LEO5LQ_ED,LEO5MED_ED,LEO5UQ_ED,LEO5SECPOP_GL,LEO5LQ_GL,LEO5MED_GL,LEO5UQ_GL
CAH06-01,01,03,3085,19500,25000,32500,2690,19500,25000,33000,345,18000,22500,29000,95,19500,25000,32500,340,19500,26500,34000,340,19500,25000,32500,335,20500,27000,35000,480,19500,26000,32500,305,18500,23500,30000,280,18500,24500,32000,175,23500,31000,40500,180,19500,24000,29000,15,22000,24000,29000,180,21500,26500,34000,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01,01,04,1685,17000,21000,26000,1270,17000,21000,26500,125,16000,20500,26000,25,18000,19500,22500,165,18000,22500,28000,130,17000,20000,25500,145,18000,22000,27000,235,17500,21000,25000,205,16500,21000,26500,175,17000,21000,26000,60,14500,23500,29000,125,14000,18500,24500,NA,NA,NA,NA,285,16000,19500,25500,20,19500,22500,29500,NA,NA,NA,NA
CAH06-01,02,03,170,18500,25000,34500,135,18500,26000,34500,15,18500,22500,26500,NA,NA,NA,NA,15,21000,27000,37500,20,17000,23500,30500,NA,NA,NA,NA,25,19500,28500,36000,20,17500,21000,36000,NA,NA,NA,NA,NA,NA,NA,NA,15,14500,19500,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01,02,04,310,20500,28500,37000,230,21500,29500,38500,50,18000,27500,34500,NA,NA,NA,NA,40,25000,30500,36000,20,22500,29500,40500,30,17000,27500,34000,25,22500,32000,38500,30,21000,32000,42500,15,27500,33500,39500,NA,NA,NA,NA,50,16500,23500,27000,NA,NA,NA,NA,30,26500,33500,42500,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,01,03,1375,18000,22500,28000,1250,18000,22500,28000,180,17000,21000,26000,20,19500,25000,33000,160,17500,22500,27500,125,18000,21500,26500,185,19500,24500,31000,260,18500,23500,29000,135,17000,20000,23500,95,17000,20500,26500,90,22500,28000,38500,70,18500,22000,27500,NA,NA,NA,NA,45,19000,24500,30500,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,01,04,740,16000,19500,23500,490,17000,20000,23500,50,16500,19500,22500,NA,NA,NA,NA,55,15500,21500,23500,50,18000,19500,23500,70,17000,19500,23500,100,17500,20500,25000,80,15500,18500,22500,55,17500,21000,25000,20,21000,25000,27000,75,13000,18500,22500,NA,NA,NA,NA,175,14000,18500,21000,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,02,03,55,14000,18500,25000,45,14000,18500,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,02,04,85,15500,24000,30500,55,17000,25500,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,13000,18500,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-03,01,03,710,21500,28500,36500,575,22000,29000,37000,25,20500,28000,33000,25,18000,25000,32500,85,23500,31000,42500,65,23000,31000,37000,80,25500,32000,38500,100,21500,28500,36500,90,21000,28000,36000,80,20000,26500,33000,25,24000,34000,44000,45,19500,22500,30500,NA,NA,NA,NA,70,21500,28000,34000,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-03,01,04,640,17500,22000,29000,540,17500,22000,28500,40,14000,21500,29000,20,14500,19000,21000,90,18000,23000,29500,35,18500,22000,29500,60,20000,25000,30000,105,18000,21500,25500,80,17000,23500,30000,105,14000,21000,25500,NA,NA,NA,NA,30,14500,19500,28000,NA,NA,NA,NA,65,18500,25500,30000,NA,NA,NA,NA,NA,NA,NA,NA
