PUBUKPRN,UKPRN,REPORT_UKPRN,OVERALL_RATING,STUDENT_EXPERIENCE_RATING,STUDENT_OUTCOMES_RATING,OUTCOME_URL
10004797,10004797,10004797,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a233ce93-dbc4-ee11-9079-0022481b51dd&finaloutcome=264ca5bc-9d53-ee11-be6f-0022481b5c9c
10004927,10004927,10004927,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=376d5e2c-dac4-ee11-9079-0022481b5984&finaloutcome=b5e8ca80-9d53-ee11-be6f-0022481b5d22
10004927,10007802,10004927,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=376d5e2c-dac4-ee11-9079-0022481b5984&finaloutcome=b5e8ca80-9d53-ee11-be6f-0022481b5d22
10004930,10004930,10004930,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=44417f1f-2e89-ee11-be36-0022481b5c9c&finaloutcome=7b4df97f-9d53-ee11-be6f-0022481b538a
10005127,10005127,10005127,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=bd5dfb4b-4e89-ee11-be36-0022481b538a&finaloutcome=a967cf26-9d53-ee11-be6f-0022481b51dd
10005128,10005128,10005128,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=60537b70-4789-ee11-be36-0022481b574a&finaloutcome=b269c523-9d53-ee11-be6f-0022481b5e3a
10005378,10005378,10005378,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=41e09362-2789-ee11-be36-0022481b574a&finaloutcome=4d346820-9d53-ee11-be6f-0022481b5c9c
10005389,10005389,10005389,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=86a0492c-7488-ee11-be36-0022481b5c9c&finaloutcome=9569c523-9d53-ee11-be6f-0022481b5e3a
10005404,10005404,10005404,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=640aa30a-7988-ee11-be36-0022481b538a&finaloutcome=4ae8ca80-9d53-ee11-be6f-0022481b5d22
10005451,10005451,10005451,Requires Improvement,Requires Improvement,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=21f923c8-e1d6-ee11-904d-0022481b5c9c&finaloutcome=e6ae4a82-9d53-ee11-be6f-0022481b574a
10005470,10005470,10005470,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4d13bd6d-dec4-ee11-9079-0022481b51dd&finaloutcome=0bff2042-9d53-ee11-be6f-0022481b522f
10005523,10005523,10005523,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=33c8703b-3989-ee11-be36-0022481b55ca&finaloutcome=28056721-9d53-ee11-be6f-0022481b5c8e
10005534,10005534,10005534,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d4ab55cc-7f88-ee11-be36-0022481b51dd&finaloutcome=4ab1ea7e-9d53-ee11-be6f-0022481b5e3a
10005545,10005545,10005545,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=201f1804-3a89-ee11-be36-0022481b51dd&finaloutcome=ba4e957e-9d53-ee11-be6f-0022481b51dd
10005553,10005553,10005553,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=6183e051-3a89-ee11-be36-0022481b574a&finaloutcome=b0f19144-9d53-ee11-be6f-0022481b5d22
10005788,10005788,10005788,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=328a4a9c-2389-ee11-be36-0022481b574a&finaloutcome=fe1c887e-9d53-ee11-be6f-0022481b5984
10005790,10005790,10005790,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f7df2b9e-4689-ee11-be36-0022481b5d22&finaloutcome=f1e6c2a1-9d53-ee11-be6f-0022481b574a
10005946,10005946,10005946,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=852fc910-3c89-ee11-be36-0022481b5d22&finaloutcome=d34e957e-9d53-ee11-be6f-0022481b51dd
10005977,10005977,10005977,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=fc9c3bb3-2f89-ee11-be36-0022481b574a&finaloutcome=856df822-9d53-ee11-be6f-0022481b538a
10005981,10005981,10005981,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=51737f5a-3d89-ee11-be36-0022481b5c9c&finaloutcome=863d4c45-9d53-ee11-be6f-0022481b574a
10005998,10005998,10005998,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=deef88b3-7b88-ee11-be36-0022481b5d22&finaloutcome=a5536341-9d53-ee11-be6f-0022481b538a
10005999,10005999,10005999,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=db1a3472-7c88-ee11-be36-0022481b5984&finaloutcome=29213c3e-9d53-ee11-be6f-0022481b55ca
10006022,10006022,10006022,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d0fcd2d4-4889-ee11-be36-0022481b51dd&finaloutcome=de20117c-9d53-ee11-be6f-0022481b55ca
10006299,10006299,10006299,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f7c5d186-dec4-ee11-9079-0022481b51dd&finaloutcome=5cb8e920-9d53-ee11-be6f-0022481b522f
10006427,10006427,10006427,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=62b82749-dcc4-ee11-9079-0022481b574a&finaloutcome=028415a6-9d53-ee11-be6f-0022481b5d22
10006566,10006566,10006566,Silver,Gold,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=603309ad-2389-ee11-be36-0022481b55ca&finaloutcome=f2e251bc-9d53-ee11-be6f-0022481b5984
10006770,10006770,10006770,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b0c26a61-3e89-ee11-be36-0022481b51dd&finaloutcome=5a63dea4-9d53-ee11-be6f-0022481b5210
10006840,10006840,10006840,Silver,Bronze,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d644c0f3-5389-ee11-be36-0022481b5d22&finaloutcome=8c33fea3-9d53-ee11-be6f-0022481b5c9c
10006841,10006841,10006841,Silver,Gold,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=98b645f4-3e89-ee11-be36-0022481b5c9c&finaloutcome=22346820-9d53-ee11-be6f-0022481b5c9c
10006842,10006842,10006842,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8aebc64e-4b89-ee11-be36-0022481b5d22&finaloutcome=876df822-9d53-ee11-be6f-0022481b538a
10006963,10000571,10006963,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=17e0d14d-dec4-ee11-9079-0022481b55ca&finaloutcome=5b33fea3-9d53-ee11-be6f-0022481b5c9c
10006963,10006963,10006963,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=17e0d14d-dec4-ee11-9079-0022481b55ca&finaloutcome=5b33fea3-9d53-ee11-be6f-0022481b5c9c
10007063,10007063,10007063,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=ea70ac66-7688-ee11-be36-0022481b5c9c&finaloutcome=0af29144-9d53-ee11-be6f-0022481b5d22
10007137,10007137,10007137,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=083a9ffe-2889-ee11-be36-0022481b55ca&finaloutcome=19e7c2a1-9d53-ee11-be6f-0022481b574a
